Year,District,Neighborhood,RFD
2014,Sarrià-Sant Gervasi,Sant Gervasi - Galvany,192.1
2015,Sarrià-Sant Gervasi,Sant Gervasi - Galvany,205.1
2007,Sarrià-Sant Gervasi,Sant Gervasi - Galvany,187.0
2013,Sarrià-Sant Gervasi,Sant Gervasi - Galvany,195.6
2011,Sarrià-Sant Gervasi,Sant Gervasi - Galvany,177.7
2009,Sarrià-Sant Gervasi,Sant Gervasi - Galvany,195.1
2016,Sarrià-Sant Gervasi,Sant Gervasi - Galvany,198.3
2010,Sarrià-Sant Gervasi,Sant Gervasi - Galvany,201.1
2008,Sarrià-Sant Gervasi,Sant Gervasi - Galvany,187.1
2017,Sarrià-Sant Gervasi,Sant Gervasi - Galvany,192.1
2012,Sarrià-Sant Gervasi,Sant Gervasi - Galvany,176.0
2008,Les Corts,Pedralbes,194.7
2011,Les Corts,Pedralbes,246.0
2010,Les Corts,Pedralbes,208.4
2014,Les Corts,Pedralbes,251.7
2007,Les Corts,Pedralbes,193.6
2009,Les Corts,Pedralbes,198.3
2017,Les Corts,Pedralbes,248.8
2013,Les Corts,Pedralbes,243.9
2015,Les Corts,Pedralbes,250.5
2016,Les Corts,Pedralbes,242.4
2012,Les Corts,Pedralbes,240.7
2015,Sant Martí,Diagonal Mar i el Front Marítim del Poblenou,162.5
2009,Sant Martí,Diagonal Mar i el Front Marítim del Poblenou,107.9
2007,Sant Martí,Diagonal Mar i el Front Marítim del Poblenou,101.1
2016,Sant Martí,Diagonal Mar i el Front Marítim del Poblenou,152.6
2010,Sant Martí,Diagonal Mar i el Front Marítim del Poblenou,106.8
2008,Sant Martí,Diagonal Mar i el Front Marítim del Poblenou,104.4
2012,Sant Martí,Diagonal Mar i el Front Marítim del Poblenou,127.4
2011,Sant Martí,Diagonal Mar i el Front Marítim del Poblenou,122.3
2017,Sant Martí,Diagonal Mar i el Front Marítim del Poblenou,150.1
2014,Sant Martí,Diagonal Mar i el Front Marítim del Poblenou,168.8
2013,Sant Martí,Diagonal Mar i el Front Marítim del Poblenou,150.1
2009,Sant Martí,el Clot,85.5
2014,Sant Martí,el Clot,81.0
2013,Sant Martí,el Clot,76.9
2012,Sant Martí,el Clot,78.2
2016,Sant Martí,el Clot,83.7
2017,Sant Martí,el Clot,83.6
2007,Sant Martí,el Clot,88.5
2011,Sant Martí,el Clot,80.0
2015,Sant Martí,el Clot,84.7
2010,Sant Martí,el Clot,82.8
2008,Sant Martí,el Clot,89.0
2016,Sant Martí,el Parc i la Llacuna del Poblenou,92.1
2010,Sant Martí,el Parc i la Llacuna del Poblenou,97.3
2017,Sant Martí,el Parc i la Llacuna del Poblenou,100.4
2013,Sant Martí,el Parc i la Llacuna del Poblenou,93.7
2012,Sant Martí,el Parc i la Llacuna del Poblenou,88.9
2011,Sant Martí,el Parc i la Llacuna del Poblenou,90.9
2007,Sant Martí,el Parc i la Llacuna del Poblenou,103.2
2015,Sant Martí,el Parc i la Llacuna del Poblenou,96.8
2009,Sant Martí,el Parc i la Llacuna del Poblenou,103.1
2008,Sant Martí,el Parc i la Llacuna del Poblenou,106.2
2014,Sant Martí,el Parc i la Llacuna del Poblenou,88.6
2016,Sant Martí,el Besòs i el Maresme,54.7
2011,Sant Martí,el Besòs i el Maresme,52.9
2009,Sant Martí,el Besòs i el Maresme,53.7
2008,Sant Martí,el Besòs i el Maresme,61.1
2007,Sant Martí,el Besòs i el Maresme,61.7
2015,Sant Martí,el Besòs i el Maresme,54.4
2010,Sant Martí,el Besòs i el Maresme,53.6
2017,Sant Martí,el Besòs i el Maresme,60.4
2014,Sant Martí,el Besòs i el Maresme,58.9
2013,Sant Martí,el Besòs i el Maresme,53.0
2012,Sant Martí,el Besòs i el Maresme,52.4
2011,Sant Martí,Provençals del Poblenou,84.3
2008,Sant Martí,Provençals del Poblenou,85.1
2017,Sant Martí,Provençals del Poblenou,102.3
2013,Sant Martí,Provençals del Poblenou,76.1
2012,Sant Martí,Provençals del Poblenou,80.4
2015,Sant Martí,Provençals del Poblenou,102.8
2009,Sant Martí,Provençals del Poblenou,82.4
2016,Sant Martí,Provençals del Poblenou,98.7
2014,Sant Martí,Provençals del Poblenou,91.7
2007,Sant Martí,Provençals del Poblenou,85.7
2010,Sant Martí,Provençals del Poblenou,77.1
2015,Sants-Montjuïc,La Marina del Prat Vermell,36.9
2016,Sants-Montjuïc,La Marina del Prat Vermell,49.7
2008,Sants-Montjuïc,La Marina del Prat Vermell,77.2
2017,Sants-Montjuïc,La Marina del Prat Vermell,40.0
2007,Sants-Montjuïc,La Marina del Prat Vermell,80.4
2013,Sants-Montjuïc,La Marina del Prat Vermell,59.1
2012,Sants-Montjuïc,La Marina del Prat Vermell,45.9
2009,Sants-Montjuïc,La Marina del Prat Vermell,74.2
2011,Sants-Montjuïc,La Marina del Prat Vermell,53.0
2010,Sants-Montjuïc,La Marina del Prat Vermell,61.9
2014,Sants-Montjuïc,La Marina del Prat Vermell,39.4
2011,Sants-Montjuïc,Hostafrancs,76.1
2010,Sants-Montjuïc,Hostafrancs,77.9
2017,Sants-Montjuïc,Hostafrancs,99.0
2014,Sants-Montjuïc,Hostafrancs,76.8
2012,Sants-Montjuïc,Hostafrancs,72.1
2015,Sants-Montjuïc,Hostafrancs,82.2
2009,Sants-Montjuïc,Hostafrancs,81.7
2016,Sants-Montjuïc,Hostafrancs,84.6
2013,Sants-Montjuïc,Hostafrancs,77.2
2008,Sants-Montjuïc,Hostafrancs,82.5
2007,Sants-Montjuïc,Hostafrancs,82.7
2015,Sants-Montjuïc,La Font de la Guatlla,83.2
2008,Sants-Montjuïc,La Font de la Guatlla,91.7
2010,Sants-Montjuïc,La Font de la Guatlla,82.4
2007,Sants-Montjuïc,La Font de la Guatlla,90.4
2013,Sants-Montjuïc,La Font de la Guatlla,77.8
2017,Sants-Montjuïc,La Font de la Guatlla,82.9
2011,Sants-Montjuïc,La Font de la Guatlla,74.6
2009,Sants-Montjuïc,La Font de la Guatlla,87.2
2016,Sants-Montjuïc,La Font de la Guatlla,84.9
2014,Sants-Montjuïc,La Font de la Guatlla,77.6
2012,Sants-Montjuïc,La Font de la Guatlla,69.7
2009,Gràcia,El Coll,89.7
2010,Gràcia,El Coll,89.0
2013,Gràcia,El Coll,83.1
2015,Gràcia,El Coll,89.0
2017,Gràcia,El Coll,87.0
2014,Gràcia,El Coll,81.6
2007,Gràcia,El Coll,91.7
2011,Gràcia,El Coll,97.3
2016,Gràcia,El Coll,84.4
2008,Gràcia,El Coll,90.2
2012,Gràcia,El Coll,92.9
2011,Gràcia,Vila de Gràcia,106.4
2009,Gràcia,Vila de Gràcia,98.8
2016,Gràcia,Vila de Gràcia,101.5
2017,Gràcia,Vila de Gràcia,104.4
2007,Gràcia,Vila de Gràcia,101.9
2015,Gràcia,Vila de Gràcia,106.3
2010,Gràcia,Vila de Gràcia,102.8
2008,Gràcia,Vila de Gràcia,100.7
2013,Gràcia,Vila de Gràcia,109.5
2012,Gràcia,Vila de Gràcia,102.6
2014,Gràcia,Vila de Gràcia,118.1
2009,Horta Guinardó,Horta,82.1
2016,Horta Guinardó,Horta,80.6
2010,Horta Guinardó,Horta,78.2
2017,Horta Guinardó,Horta,79.8
2007,Horta Guinardó,Horta,85.9
2013,Horta Guinardó,Horta,83.1
2014,Horta Guinardó,Horta,82.2
2012,Horta Guinardó,Horta,80.0
2011,Horta Guinardó,Horta,78.2
2015,Horta Guinardó,Horta,80.9
2008,Horta Guinardó,Horta,87.5
2011,Horta Guinardó,Sant Genís Dels Agudells - Montbau,81.2
2009,Horta Guinardó,Sant Genís Dels Agudells - Montbau,80.5
2016,Horta Guinardó,Sant Genís Dels Agudells - Montbau,86.3
2010,Horta Guinardó,Sant Genís Dels Agudells - Montbau,81.4
2008,Horta Guinardó,Sant Genís Dels Agudells - Montbau,86.8
2014,Horta Guinardó,Sant Genís Dels Agudells - Montbau,80.0
2007,Horta Guinardó,Sant Genís Dels Agudells - Montbau,85.7
2013,Horta Guinardó,Sant Genís Dels Agudells - Montbau,74.8
2015,Horta Guinardó,Sant Genís Dels Agudells - Montbau,93.5
2017,Horta Guinardó,Sant Genís Dels Agudells - Montbau,84.1
2012,Horta Guinardó,Sant Genís Dels Agudells - Montbau,79.6
2015,Horta Guinardó,Montbau,72.3
2008,Horta Guinardó,Montbau,88.6
2014,Horta Guinardó,Montbau,70.0
2011,Horta Guinardó,Montbau,71.1
2010,Horta Guinardó,Montbau,82.2
2017,Horta Guinardó,Montbau,79.8
2013,Horta Guinardó,Montbau,71.5
2012,Horta Guinardó,Montbau,76.4
2009,Horta Guinardó,Montbau,80.0
2016,Horta Guinardó,Montbau,82.2
2007,Horta Guinardó,Montbau,85.5
2010,Nou Barris,Can Peguera - El Turó de la Peira,38.4
2012,Nou Barris,Can Peguera - El Turó de la Peira,53.1
2015,Nou Barris,Can Peguera - El Turó de la Peira,51.1
2009,Nou Barris,Can Peguera - El Turó de la Peira,43.3
2016,Nou Barris,Can Peguera - El Turó de la Peira,51.5
2017,Nou Barris,Can Peguera - El Turó de la Peira,51.5
2011,Nou Barris,Can Peguera - El Turó de la Peira,52.7
2008,Nou Barris,Can Peguera - El Turó de la Peira,52.8
2014,Nou Barris,Can Peguera - El Turó de la Peira,51.0
2007,Nou Barris,Can Peguera - El Turó de la Peira,49.8
2013,Nou Barris,Can Peguera - El Turó de la Peira,53.1
2010,Nou Barris,la Guineueta,71.5
2011,Nou Barris,la Guineueta,58.9
2015,Nou Barris,la Guineueta,55.9
2016,Nou Barris,la Guineueta,54.4
2008,Nou Barris,la Guineueta,82.0
2017,Nou Barris,la Guineueta,53.8
2014,Nou Barris,la Guineueta,56.0
2007,Nou Barris,la Guineueta,82.0
2009,Nou Barris,la Guineueta,76.9
2013,Nou Barris,la Guineueta,54.5
2012,Nou Barris,la Guineueta,56.1
2015,Nou Barris,La Prosperitat,54.0
2010,Nou Barris,La Prosperitat,61.5
2017,Nou Barris,La Prosperitat,56.0
2012,Nou Barris,La Prosperitat,60.0
2016,Nou Barris,La Prosperitat,55.1
2011,Nou Barris,La Prosperitat,61.3
2009,Nou Barris,La Prosperitat,66.7
2008,Nou Barris,La Prosperitat,72.5
2014,Nou Barris,La Prosperitat,53.7
2007,Nou Barris,La Prosperitat,72.6
2013,Nou Barris,La Prosperitat,56.3
2016,Nou Barris,Verdun,53.8
2010,Nou Barris,Verdun,55.0
2017,Nou Barris,Verdun,51.3
2007,Nou Barris,Verdun,63.8
2013,Nou Barris,Verdun,55.6
2015,Nou Barris,Verdun,55.4
2014,Nou Barris,Verdun,50.8
2011,Nou Barris,Verdun,53.3
2009,Nou Barris,Verdun,57.2
2008,Nou Barris,Verdun,61.9
2012,Nou Barris,Verdun,49.5
2011,Nou Barris,Vallbona,53.2
2017,Nou Barris,Vallbona,40.9
2014,Nou Barris,Vallbona,39.9
2007,Nou Barris,Vallbona,51.6
2015,Nou Barris,Vallbona,37.8
2009,Nou Barris,Vallbona,61.2
2016,Nou Barris,Vallbona,51.9
2010,Nou Barris,Vallbona,48.2
2008,Nou Barris,Vallbona,59.6
2012,Nou Barris,Vallbona,52.6
2013,Nou Barris,Vallbona,41.7
2015,Sant Andreu,el Bon Pastor,58.0
2016,Sant Andreu,el Bon Pastor,62.0
2013,Sant Andreu,el Bon Pastor,71.8
2011,Sant Andreu,el Bon Pastor,63.0
2009,Sant Andreu,el Bon Pastor,57.1
2017,Sant Andreu,el Bon Pastor,65.1
2010,Sant Andreu,el Bon Pastor,51.8
2008,Sant Andreu,el Bon Pastor,64.8
2014,Sant Andreu,el Bon Pastor,59.6
2007,Sant Andreu,el Bon Pastor,66.2
2012,Sant Andreu,el Bon Pastor,67.3
2015,Sant Andreu,la Sagrera,76.8
2010,Sant Andreu,la Sagrera,80.4
2008,Sant Andreu,la Sagrera,85.3
2012,Sant Andreu,la Sagrera,72.9
2009,Sant Andreu,la Sagrera,81.2
2013,Sant Andreu,la Sagrera,74.3
2011,Sant Andreu,la Sagrera,76.7
2016,Sant Andreu,la Sagrera,77.9
2017,Sant Andreu,la Sagrera,77.1
2014,Sant Andreu,la Sagrera,74.9
2007,Sant Andreu,la Sagrera,88.1
2011,Sant Andreu,La Trinitat Vella,49.4
2009,Sant Andreu,La Trinitat Vella,69.9
2016,Sant Andreu,La Trinitat Vella,48.9
2017,Sant Andreu,La Trinitat Vella,47.1
2014,Sant Andreu,La Trinitat Vella,45.9
2015,Sant Andreu,La Trinitat Vella,43.1
2008,Sant Andreu,La Trinitat Vella,76.4
2007,Sant Andreu,La Trinitat Vella,74.8
2013,Sant Andreu,La Trinitat Vella,53.5
2012,Sant Andreu,La Trinitat Vella,52.2
2010,Sant Andreu,La Trinitat Vella,58.1
2016,Eixample,La Dreta de l'Eixample,170.0
2014,Eixample,La Dreta de l'Eixample,165.3
2011,Eixample,La Dreta de l'Eixample,151.7
2015,Eixample,La Dreta de l'Eixample,165.8
2009,Eixample,La Dreta de l'Eixample,143.6
2010,Eixample,La Dreta de l'Eixample,144.1
2007,Eixample,La Dreta de l'Eixample,137.6
2012,Eixample,La Dreta de l'Eixample,150.1
2008,Eixample,La Dreta de l'Eixample,138.0
2017,Eixample,La Dreta de l'Eixample,175.9
2013,Eixample,La Dreta de l'Eixample,165.7
2008,Eixample,La Nova Esquerra de l'Eixample,116.6
2017,Eixample,La Nova Esquerra de l'Eixample,110.2
2011,Eixample,La Nova Esquerra de l'Eixample,107.7
2016,Eixample,La Nova Esquerra de l'Eixample,105.3
2013,Eixample,La Nova Esquerra de l'Eixample,108.6
2015,Eixample,La Nova Esquerra de l'Eixample,103.8
2009,Eixample,La Nova Esquerra de l'Eixample,114.3
2010,Eixample,La Nova Esquerra de l'Eixample,115.2
2014,Eixample,La Nova Esquerra de l'Eixample,109.1
2007,Eixample,La Nova Esquerra de l'Eixample,116.9
2012,Eixample,La Nova Esquerra de l'Eixample,105.9
