year,idDistrict,idNeighborhood,RFD,pop,Nou. Euros/m2 construït,Nou. Milers d'euros,Total. Euros/m2 construït,Total. Milers d'euros,Usat. Euros/m2 construït,Usat. Milers d'euros,kpi
2017,Sarrià-Sant Gervasi,El Putxet i el Farró,144.6,29617,4040.2,467.5,4839.6,523.2,4903.1,527.7,0.0299
2015,Sarrià-Sant Gervasi,El Putxet i el Farró,141.0,29149,2890.8,276.7,3139.1,360,3167.8,369.6,0.0449
2016,Sarrià-Sant Gervasi,El Putxet i el Farró,140.6,29318,3780.8,406.4,3749.1,398.2,3746.2,397.4,0.0375
2013,Sarrià-Sant Gervasi,El Putxet i el Farró,142.2,28883,2785.8,293.4,2763.1,303.3,2758.6,305.2,0.0515
2014,Sarrià-Sant Gervasi,El Putxet i el Farró,140.2,29041,2705.6,305.1,2904,328.6,2935.9,332.4,0.0483
2016,Ciutat Vella,la Barceloneta,84.8,15068,4477.2,409.5,4151.9,212.2,4109.5,186.4,0.0204
2017,Ciutat Vella,la Barceloneta,79.6,15101,3967.5,192.8,4501.1,197.7,4551.3,198.2,0.0177
2013,Ciutat Vella,la Barceloneta,82.1,15571,4062.8,228.7,3476.3,175.5,2861.3,119.7,0.0236
2014,Ciutat Vella,la Barceloneta,84.5,15181,4292.5,216.9,3744.9,166,3493.3,142.6,0.0226
2015,Ciutat Vella,la Barceloneta,76.6,15036,3587,148,3474.4,150.3,3449.7,150.8,0.022
2013,Ciutat Vella,El Gòtic,103.6,16327,3248.7,285.2,2448.2,212.4,2239.7,193.4,0.0423
2015,Ciutat Vella,El Gòtic,108.5,15269,2331.6,355.7,3193.4,386.3,3404.2,393.8,0.034
2016,Ciutat Vella,El Gòtic,110.5,15729,4700.7,409.2,4149.4,422.8,3862.5,430,0.0266
2017,Ciutat Vella,El Gòtic,106.1,16240,5397.4,799.5,4565.8,472.7,4441.9,424,0.0232
2014,Ciutat Vella,El Gòtic,98.5,15911,3063.2,240.3,2784.9,277.7,2730.3,285,0.0354
2013,Horta Guinardó,El Guinardó,86.4,35790,NA,NA,2009.4,143.1,2009.4,143.1,0.043
2017,Horta Guinardó,El Guinardó,79.1,36538,NA,NA,2742.6,202.2,2740,201.8,0.0288
2015,Horta Guinardó,El Guinardó,82.7,36073,3115.9,343.3,2198.5,173.1,2184.1,170.4,0.0376
2014,Horta Guinardó,El Guinardó,82.0,35698,3300.7,347.1,2164.8,169.1,2130.7,163.7,0.0379
2016,Horta Guinardó,El Guinardó,80.1,36176,NA,NA,2443.2,186.9,2411.4,182.6,0.0328
2016,Horta Guinardó,la Clota,91.4,590,342.6,160,342.6,160,NA,NA,0.2668
2015,Horta Guinardó,la Clota,89.3,568,NA,NA,1711.3,118.3,1711.3,118.3,0.0522
2017,Horta Guinardó,la Clota,93.5,611,NA,NA,NA,NA,NA,NA,
2013,Horta Guinardó,la Clota,85.1,504,NA,NA,1723.6,108,NA,NA,0.0494
2014,Horta Guinardó,la Clota,90.1,529,1494.7,90.4,1826.9,124.5,2076.1,150,0.0493
2016,Horta Guinardó,El Carmel,54.5,31377,1832.2,117.2,1765.4,113.3,1744.3,112.1,0.0309
2013,Horta Guinardó,El Carmel,54.4,32181,1792,111.4,1656.4,106.6,1554.7,103,0.0328
2014,Horta Guinardó,El Carmel,56.6,31728,1528.4,149.6,1523.5,119,1521.3,105.3,0.0372
2015,Horta Guinardó,El Carmel,56.9,31498,1622.7,106.2,1688.2,117.2,1713.2,121.4,0.0337
2017,Horta Guinardó,El Carmel,54.2,31583,2246.4,135.7,2147.3,144.6,2120.8,146.9,0.0252
2014,Horta Guinardó,La Teixonera,69.6,11379,1447.8,89.2,1721.8,113.4,1922.7,131.1,0.0404
2016,Horta Guinardó,La Teixonera,75.8,11281,1640.8,106.6,1812.9,106.6,1889.4,106.6,0.0418
2015,Horta Guinardó,La Teixonera,74.5,11322,1452.3,79.4,1723.3,101.1,1979.3,121.6,0.0432
2017,Horta Guinardó,La Teixonera,73.7,11634,2394.6,149.8,2217.4,144,2161.4,142.1,0.0332
2013,Horta Guinardó,La Teixonera,69.0,11257,1192.4,92.2,1368.3,93.4,1468.8,94.1,0.0504
2017,Horta Guinardó,La Vall d'Hebron - La Clota,95.8,5792,3384,175,3615.3,210.4,3710.5,224.9,0.0265
2015,Horta Guinardó,La Vall d'Hebron - La Clota,92.6,5613,3163.3,155,2917.9,174.6,2764.5,186.9,0.0317
2013,Horta Guinardó,La Vall d'Hebron - La Clota,87.7,5543,2657.5,144.4,2487.2,135,2365.5,128.3,0.0353
2016,Horta Guinardó,La Vall d'Hebron - La Clota,87.5,5687,NA,NA,3073.7,183,3123.9,186.6,0.0285
2014,Horta Guinardó,La Vall d'Hebron - La Clota,86.9,5422,2082,127.5,2442.8,156.4,2623.1,170.8,0.0356
2017,Les Corts,Les Corts,120.0,46104,7252.9,669.8,4737.6,417.3,4138.7,357.2,0.0253
2014,Les Corts,Les Corts,125.4,46205,3117.9,298.6,2910.9,245.9,2902,243.7,0.0431
2015,Les Corts,Les Corts,124.5,46086,5474.9,466.3,3299.7,281.7,3056.2,261,0.0377
2013,Les Corts,Les Corts,124.8,46126,3116.8,224.1,2923.6,252.5,2902.7,255.6,0.0427
2016,Les Corts,Les Corts,119.9,45976,5484,495,3535.3,271.4,3464.3,263.3,0.0339
2016,Sant Andreu,el Bon Pastor,62.0,12594,NA,NA,1644.1,120.6,1644.1,120.6,0.0377
2015,Sant Andreu,el Bon Pastor,58.0,12655,NA,NA,1498.7,113.8,1498.7,113.8,0.0387
2013,Sant Andreu,el Bon Pastor,71.8,12734,NA,NA,1474.8,100.2,1474.8,100.2,0.0487
2017,Sant Andreu,el Bon Pastor,65.1,12582,1289,106,1893.7,144.4,1936.4,147.1,0.0344
2014,Sant Andreu,el Bon Pastor,59.6,12758,NA,NA,1426.2,94.4,1426.2,94.4,0.0418
2014,Sant Andreu,El Congrés i els Indians,72.7,14076,1746.7,136.3,1934.6,129.7,1951.9,129.1,0.0376
2016,Sant Andreu,El Congrés i els Indians,71.7,14051,2013.3,153.6,2169.4,158,2174.7,158.2,0.0331
2015,Sant Andreu,El Congrés i els Indians,70.1,14148,1444.3,87.2,2157.8,151.4,2190.5,154.4,0.0325
2013,Sant Andreu,El Congrés i els Indians,73.7,14015,1923.6,118,2056,136.8,2124.5,146.5,0.0358
2017,Sant Andreu,El Congrés i els Indians,75.1,14141,4443.3,316,2709.5,189.5,2672.9,186.9,0.0277
2013,Gràcia,El Coll,83.1,7170,1995.3,148.4,1865.4,128.7,1757.2,112.4,0.0445
2017,Gràcia,El Coll,87.0,7428,2817.5,228.7,2741.6,205.8,2720,199.3,0.0317
2014,Gràcia,El Coll,81.6,7307,1943.8,162.4,2148.2,161.9,2301.5,161.6,0.038
2016,Gràcia,El Coll,84.4,7391,2913.5,247.3,2283.5,169.7,2135.3,151.4,0.037
2015,Gràcia,El Coll,89.0,7324,2381.8,154.7,2230.4,158,2166.7,159.4,0.0399
2017,Gràcia,La Salut,109.9,13207,3337.4,225,3853.7,310.9,3862,312.3,0.0285
2015,Gràcia,La Salut,114.4,13213,NA,NA,2855.7,221.7,2855.7,221.7,0.0401
2016,Gràcia,La Salut,116.4,13123,NA,NA,3188.6,263.1,3188.6,263.1,0.0365
2013,Gràcia,La Salut,113.5,13223,NA,NA,2536.1,189.9,2551.9,191.3,0.0448
2014,Gràcia,La Salut,107.3,13256,NA,NA,2671.6,227.3,2674.4,227.7,0.0402
2015,Sants-Montjuïc,La Marina del Prat Vermell,36.9,1145,NA,NA,NA,NA,NA,NA,
2016,Sants-Montjuïc,La Marina del Prat Vermell,49.7,1146,NA,NA,1088.7,79.3,1088.7,79.3,0.0457
2017,Sants-Montjuïc,La Marina del Prat Vermell,40.0,1151,NA,NA,1381.4,99.1,1381.4,99.1,0.029
2014,Sants-Montjuïc,La Marina del Prat Vermell,39.4,1151,NA,NA,684.5,55.9,684.5,55.9,0.0576
2013,Sants-Montjuïc,La Marina del Prat Vermell,59.1,1117,NA,NA,NA,NA,NA,NA,
2017,Sants-Montjuïc,El Poble Sec - Parc de Montjuïc,82.2,40358,4105.7,307,3554.6,260.5,3524.8,258,0.0231
2015,Sants-Montjuïc,El Poble Sec - Parc de Montjuïc,74.3,40217,NA,NA,2246.9,143,2246.9,143,0.0331
2016,Sants-Montjuïc,El Poble Sec - Parc de Montjuïc,76.1,40104,NA,NA,2524,155.2,2528.3,155.7,0.0302
2013,Sants-Montjuïc,El Poble Sec - Parc de Montjuïc,71.0,41060,NA,NA,1582.1,93.7,1582.1,93.7,0.0449
2014,Sants-Montjuïc,El Poble Sec - Parc de Montjuïc,66.3,40674,NA,NA,1607.2,95,1607.2,95,0.0413
2016,Nou Barris,Porta,62.5,24567,NA,NA,2012.2,137,2031.5,139,0.0311
2015,Nou Barris,Porta,61.4,24536,NA,NA,1938,134.8,1938,134.8,0.0317
2017,Nou Barris,Porta,64.4,25046,NA,NA,2478.1,171,2478.1,171,0.026
2014,Nou Barris,Porta,58.3,24424,NA,NA,1670.8,114.4,1683.1,114.6,0.0349
2013,Nou Barris,Porta,61.3,24442,NA,NA,1942,128.4,1942,128.4,0.0316
2016,Nou Barris,el Turó de la Peira,51.7,15373,NA,NA,1552.8,104.6,1552.8,104.6,0.0333
2014,Nou Barris,el Turó de la Peira,50.6,15471,NA,NA,1538.6,101.7,1538.6,101.7,0.0329
2017,Nou Barris,el Turó de la Peira,51.9,15506,1688.2,91.8,1756.9,107.8,1775.2,112.1,0.0295
2015,Nou Barris,el Turó de la Peira,48.8,15420,NA,NA,1408.6,96.7,1408.6,96.7,0.0346
2013,Nou Barris,el Turó de la Peira,51.6,15307,NA,NA,1487.3,87.3,1487.3,87.3,0.0347
2014,Nou Barris,Les Roquetes,50.8,15668,NA,NA,1213.4,71.8,1213.4,71.8,0.0419
2013,Nou Barris,Les Roquetes,50.4,15836,NA,NA,1528.7,81.4,1528.7,81.4,0.033
2015,Nou Barris,Les Roquetes,47.8,15523,NA,NA,1184.1,59.6,1184.1,59.6,0.0404
2017,Nou Barris,Les Roquetes,49.7,15648,NA,NA,1837,106.7,1837,106.7,0.0271
2016,Nou Barris,Les Roquetes,57.0,15428,NA,NA,1675.9,131.7,1675.9,131.7,0.034
2016,Nou Barris,La Trinitat Nova,40.6,7259,NA,NA,1266.2,67,1266.2,67,0.0321
2015,Nou Barris,La Trinitat Nova,35.6,7362,NA,NA,1206.9,64.3,1206.9,64.3,0.0295
2013,Nou Barris,La Trinitat Nova,38.5,7533,NA,NA,945.1,54.5,945.1,54.5,0.0407
2014,Nou Barris,La Trinitat Nova,34.7,7462,NA,NA,968.2,48.5,968.2,48.5,0.0358
2017,Nou Barris,La Trinitat Nova,48.2,7271,NA,NA,1381.7,73.6,1381.7,73.6,0.0349
2015,Sant Martí,El Camp de l'Arpa del Clot,78.7,38202,NA,NA,2818.1,234.5,2818.1,234.5,0.0279
2016,Sant Martí,El Camp de l'Arpa del Clot,82.7,38252,4332.4,278.7,3331.6,269.4,3306.1,269.2,0.0248
2014,Sant Martí,El Camp de l'Arpa del Clot,80.9,38130,2601.3,250.2,2618.5,252.3,2618.7,252.3,0.0309
2013,Sant Martí,El Camp de l'Arpa del Clot,76.5,38035,3331.4,348,2800,275.5,2793.3,274.5,0.0273
2017,Sant Martí,El Camp de l'Arpa del Clot,81.7,38371,4871,420.4,3988.8,341.8,3927.3,336.3,0.0205
2016,Sant Martí,el Besòs i el Maresme,54.7,22609,2670.1,235,2263.8,157.8,2185.7,143,0.0242
2017,Sant Martí,el Besòs i el Maresme,60.4,22893,2581.1,167.2,2910.9,215.9,2951,221.8,0.0207
2013,Sant Martí,el Besòs i el Maresme,53.0,23202,2548.4,253.3,1997.2,153.6,1811.7,120.1,0.0265
2015,Sant Martí,el Besòs i el Maresme,54.4,23026,3615.4,258.9,2292.4,155.8,1999.2,132.9,0.0237
2014,Sant Martí,el Besòs i el Maresme,58.9,23191,2472.6,191.1,2263.8,195.3,2202.6,196.5,0.026
2013,Sant Martí,Provençals del Poblenou,76.1,20158,3917.2,285.4,3683,272.1,3526.9,263.3,0.0207
2015,Sant Martí,Provençals del Poblenou,102.8,20244,1968.5,141.6,4387.7,351.5,5487.4,446.9,0.0234
2014,Sant Martí,Provençals del Poblenou,91.7,20184,3331,273.5,4176.1,335.1,4514.2,359.8,0.022
2017,Sant Martí,Provençals del Poblenou,102.3,20649,2881.1,200.6,4555.3,342.3,5043.6,383.6,0.0225
2016,Sant Martí,Provençals del Poblenou,98.7,20516,2159.1,173,3092.1,246.6,3558.6,283.4,0.0319
2015,Sant Martí,el Poblenou,95.6,33579,3182.3,261.6,3072.6,252.2,2976.8,244.1,0.0311
2017,Sant Martí,el Poblenou,99.9,33931,4760.8,372.2,4347.4,337.9,4285.7,332.8,0.023
2013,Sant Martí,el Poblenou,89.6,33176,3061,223,3117.3,219.7,3165.6,216.8,0.0287
2014,Sant Martí,el Poblenou,95.4,33425,3302.3,233.9,3150.5,245.3,3070.3,251.4,0.0303
2016,Sant Martí,el Poblenou,98.6,33621,4944.9,429.1,3919.3,330.4,3249.2,265.9,0.0252
2017,Eixample,La Nova Esquerra de l'Eixample,110.2,58315,6053.1,431.9,4519,339.6,4030.3,310.2,0.0244
2016,Eixample,La Nova Esquerra de l'Eixample,105.3,57676,5006.7,459.7,3282.6,266.4,3217.6,259.1,0.0321
2013,Eixample,La Nova Esquerra de l'Eixample,108.6,57828,5174.1,432.3,3648.2,301.6,2624,213.8,0.0298
2015,Eixample,La Nova Esquerra de l'Eixample,103.8,57711,6084.2,560.5,3070.9,265.5,2666.2,225.8,0.0338
2014,Eixample,La Nova Esquerra de l'Eixample,109.1,57863,2377,217.4,3217.8,257,3337.9,262.7,0.0339
2015,Eixample,La Dreta de l'Eixample,165.8,43344,2143.1,179.5,3311,388,3464.3,415.4,0.0501
2013,Eixample,La Dreta de l'Eixample,165.7,43439,2195.1,214.6,2798.2,306.9,2874.2,318.5,0.0592
2016,Eixample,La Dreta de l'Eixample,170.0,43715,2844.6,255,3511.3,398.4,3576.3,412.3,0.0484
2014,Eixample,La Dreta de l'Eixample,165.3,43749,2491.6,225.1,3161.7,385.4,3227.7,401.2,0.0523
2017,Eixample,La Dreta de l'Eixample,175.9,44246,2878.1,257.7,4628,519.8,4731,535.3,0.038
